rowID,stamp,datetime,hum
5137998,1497830352, 2017/6/18 23:59:12,69.40
5138999,1497830353, 2017/6/18 23:59:13,69.40
5139999,1497830354, 2017/6/18 23:59:14,69.40
5141000,1497830355, 2017/6/18 23:59:15,69.40
5141999,1497830356, 2017/6/18 23:59:16,69.40
5142999,1497830357, 2017/6/18 23:59:17,69.40
5143999,1497830358, 2017/6/18 23:59:18,69.40
5145000,1497830359, 2017/6/18 23:59:19,69.40
5146000,1497830360, 2017/6/18 23:59:20,69.40
5146998,1497830361, 2017/6/18 23:59:21,69.40
5147999,1497830362, 2017/6/18 23:59:22,69.40
5148999,1497830363, 2017/6/18 23:59:23,69.40
5149999,1497830364, 2017/6/18 23:59:24,69.40
5150999,1497830365, 2017/6/18 23:59:25,69.40
5151998,1497830366, 2017/6/18 23:59:26,69.40
5152999,1497830367, 2017/6/18 23:59:27,69.40
5154000,1497830368, 2017/6/18 23:59:28,69.40
5155000,1497830369, 2017/6/18 23:59:29,69.40
5155999,1497830370, 2017/6/18 23:59:30,69.40
5156999,1497830371, 2017/6/18 23:59:31,69.40
5157999,1497830372, 2017/6/18 23:59:32,69.40
5158999,1497830373, 2017/6/18 23:59:33,69.40
5159999,1497830374, 2017/6/18 23:59:34,69.50
5160998,1497830375, 2017/6/18 23:59:35,69.50
5162000,1497830376, 2017/6/18 23:59:36,69.50
5162999,1497830377, 2017/6/18 23:59:37,69.50
5163999,1497830378, 2017/6/18 23:59:38,69.50
5164998,1497830379, 2017/6/18 23:59:39,69.50
5166000,1497830380, 2017/6/18 23:59:40,69.50
5166998,1497830381, 2017/6/18 23:59:41,69.40
5168000,1497830382, 2017/6/18 23:59:42,69.40
5169000,1497830383, 2017/6/18 23:59:43,69.30
5169999,1497830384, 2017/6/18 23:59:44,69.30
5170999,1497830385, 2017/6/18 23:59:45,69.30
5171999,1497830386, 2017/6/18 23:59:46,69.50
5172999,1497830387, 2017/6/18 23:59:47,69.50
5173998,1497830388, 2017/6/18 23:59:48,69.50
5175000,1497830389, 2017/6/18 23:59:49,69.50
5175999,1497830390, 2017/6/18 23:59:50,69.30
5176998,1497830391, 2017/6/18 23:59:51,69.30
5177999,1497830392, 2017/6/18 23:59:52,69.30
5178999,1497830393, 2017/6/18 23:59:53,69.50
5179999,1497830394, 2017/6/18 23:59:54,69.50
5180998,1497830395, 2017/6/18 23:59:55,69.40
